name,averageofgoals,averageofpoints,AverageCreativity,AverageAssists,AverageThreat,AverageCS,AverageSel,AverageGC
John McGinn,0.23076923076923078,3.6538461538461537,20.603846153846156,0.07692307692307693,18.984615384615385,0.23076923076923078,110533.30769230769,0.2692307692307692
Jordan Ayew,0.11538461538461539,2.8846153846153846,12.015384615384615,0.19230769230769232,14.815384615384614,0.2692307692307692,41073.230769230766,0.19230769230769232
Jordan Beyer,0.0,1.1538461538461537,1.7653846153846153,0.038461538461538464,12.0,0.07692307692307693,204847.5,0.23076923076923078
Jordan Pickford,0.0,3.576923076923077,1.669230769230769,0.0,22.823076923076922,0.3076923076923077,973043.5769230769,0.15384615384615385
Josh Brownhill,0.11538461538461539,2.3846153846153846,15.473076923076924,0.038461538461538464,14.776923076923076,0.07692307692307693,23401.69230769231,0.11538461538461539
José Malheiro de Sá,0.0,2.576923076923077,0.0,0.0,20.192307692307693,0.11538461538461539,144829.84615384616,0.038461538461538464
João Palhinha Gonçalves,0.11538461538461539,2.423076923076923,5.892307692307692,0.038461538461538464,18.16923076923077,0.19230769230769232,33306.5,0.38461538461538464
João Victor Gomes da Silva,0.07692307692307693,2.1538461538461537,7.584615384615384,0.07692307692307693,11.830769230769231,0.11538461538461539,6676.038461538462,0.23076923076923078
Joško Gvardiol,0.0,1.6923076923076923,8.396153846153847,0.0,9.653846153846153,0.15384615384615385,409381.76923076925,0.07692307692307693
Julián Álvarez,0.3076923076923077,4.884615384615385,34.51538461538461,0.38461538461538464,22.83076923076923,0.38461538461538464,2762311.230769231,0.07692307692307693
Justin Kluivert,0.16,2.24,8.412,0.0,8.16,0.24,31779.96,0.16
Jérémy Doku,0.08333333333333333,2.5,19.8625,0.20833333333333334,14.533333333333333,0.041666666666666664,323992.3333333333,0.125
Kai Havertz,0.23076923076923078,3.423076923076923,13.811538461538463,0.15384615384615385,13.86153846153846,0.3076923076923077,196687.42307692306,0.23076923076923078
Kaoru Mitoma,0.11538461538461539,2.8461538461538463,14.426923076923078,0.2692307692307692,12.599999999999998,0.038461538461538464,2826669.1923076925,0.15384615384615385
Kieran Trippier,0.038461538461538464,4.153846153846154,37.73846153846154,0.38461538461538464,26.692307692307693,0.23076923076923078,4246573.730769231,0.19230769230769232
Kurt Zouma,0.07692307692307693,2.1538461538461537,1.1961538461538461,0.0,15.63846153846154,0.11538461538461539,171089.38461538462,0.11538461538461539
Kyle Walker,0.0,3.1538461538461537,17.834615384615383,0.11538461538461539,13.100000000000001,0.23076923076923078,1535109.423076923,0.07692307692307693
Leon Bailey,0.2692307692307692,3.8076923076923075,17.703846153846154,0.3076923076923077,17.66923076923077,0.15384615384615385,217579.38461538462,0.15384615384615385
Levi Colwill,0.038461538461538464,2.5,4.353846153846154,0.038461538461538464,15.176923076923078,0.19230769230769232,527230.5384615385,0.07692307692307693
Lewis Cook,0.0,2.0,15.384,0.12,12.84,0.2,2198.96,0.12
Lewis Dunk,0.07692307692307693,1.9230769230769231,5.857692307692308,0.038461538461538464,21.023076923076925,0.07692307692307693,357461.42307692306,0.19230769230769232
Lewis Miley,0.038461538461538464,1.4615384615384615,6.773076923076923,0.07692307692307693,8.03076923076923,0.038461538461538464,10179.115384615385,0.038461538461538464
Lorenz Assignon,0.0,1.25,13.55,0.25,17.8,0.0,3617.0,0.25
Luca Koleosho,0.038461538461538464,1.5384615384615385,4.853846153846154,0.07692307692307693,3.330769230769231,0.11538461538461539,10658.076923076924,0.0
Lucas Digne,0.038461538461538464,2.5,18.034615384615385,0.11538461538461539,12.100000000000001,0.19230769230769232,446194.42307692306,0.19230769230769232
Lucas Tolentino Coelho de Lima,0.07692307692307693,2.5,17.346153846153847,0.19230769230769232,13.576923076923077,0.15384615384615385,167985.11538461538,0.23076923076923078
Luis Díaz,0.2222222222222222,3.7037037037037037,16.159259259259258,0.18518518518518517,14.896296296296295,0.2222222222222222,885953.1111111111,0.07407407407407407
Lyle Foster,0.15384615384615385,2.0,4.9653846153846155,0.11538461538461539,9.930769230769231,0.07692307692307693,73662.80769230769,0.0
Mads Roerslev Rasmussen,0.038461538461538464,1.8846153846153846,8.319230769230769,0.07692307692307693,10.692307692307692,0.07692307692307693,7363.846153846154,0.0
Malo Gusto,0.0,2.0,12.63846153846154,0.19230769230769232,11.984615384615385,0.11538461538461539,702279.8461538461,0.19230769230769232
Manuel Akanji,0.07692307692307693,2.3461538461538463,6.5307692307692315,0.0,13.384615384615385,0.19230769230769232,588515.8076923077,0.07692307692307693
Marc Guéhi,0.0,2.230769230769231,3.088461538461538,0.038461538461538464,15.446153846153845,0.19230769230769232,325592.1923076923,0.07692307692307693
Marcos Senesi,0.12,2.72,7.756,0.08,20.12,0.16,160234.56,0.28
Marcus Rashford,0.23076923076923078,3.3846153846153846,10.838461538461539,0.11538461538461539,14.476923076923075,0.19230769230769232,1947803.6153846155,0.07692307692307693
Marcus Tavernier,0.08,2.84,19.812,0.16,14.927999999999999,0.24,33529.64,0.08
Mario Lemina,0.15384615384615385,2.6153846153846154,6.380769230769231,0.0,17.13076923076923,0.11538461538461539,9495.23076923077,0.3076923076923077
Mark Flekken,0.0,2.8846153846153846,0.38461538461538464,0.038461538461538464,23.56153846153846,0.15384615384615385,297624.76923076925,0.11538461538461539
Martin Ødegaard,0.23076923076923078,4.769230769230769,38.48076923076923,0.2692307692307692,23.838461538461537,0.38461538461538464,1818691.8076923077,0.038461538461538464
Marvelous Nakamba,0.0,0.8076923076923077,3.9538461538461536,0.0,5.630769230769231,0.0,102748.96153846153,0.19230769230769232
Matheus Santos Carneiro Da Cunha,0.34615384615384615,4.153846153846154,13.234615384615385,0.23076923076923078,24.346153846153847,0.19230769230769232,310596.1153846154,0.19230769230769232
Mathias Jensen,0.11538461538461539,2.8846153846153846,16.99615384615385,0.15384615384615385,13.069230769230769,0.23076923076923078,144271.3076923077,0.11538461538461539
Matt Turner,0.0,1.6153846153846154,0.0,0.0,14.599999999999998,0.07692307692307693,1405233.5384615385,0.038461538461538464
Matty Cash,0.07692307692307693,2.1538461538461537,7.707692307692308,0.038461538461538464,14.915384615384616,0.11538461538461539,2131170.346153846,0.23076923076923078
Matz Sels,0.0,3.25,0.0,0.0,11.25,0.25,1498.5,0.0
Max Kilman,0.07692307692307693,2.4615384615384617,6.153846153846154,0.0,21.9,0.15384615384615385,84430.84615384616,0.19230769230769232
Maxime Esteve,0.0,1.0,1.775,0.0,13.3,0.0,429.25,0.0
Micky van de Ven,0.038461538461538464,1.9615384615384615,1.3461538461538463,0.0,12.123076923076923,0.15384615384615385,187557.65384615384,0.038461538461538464
Miguel Almirón Rejala,0.11538461538461539,2.6538461538461537,12.542307692307693,0.038461538461538464,10.638461538461538,0.19230769230769232,495831.3846153846,0.038461538461538464
Milos Kerkez,0.0,1.6,3.984,0.04,8.192,0.16,22082.68,0.08
Mohamed Salah,0.5555555555555556,6.185185185185185,23.788888888888888,0.3333333333333333,30.511111111111113,0.25925925925925924,3663173.296296296,0.07407407407407407
Mohammed Kudus,0.2608695652173913,3.9130434782608696,11.156521739130437,0.21739130434782608,17.878260869565217,0.13043478260869565,273153.3043478261,0.21739130434782608
Moisés Caicedo Corozo,0.0,1.6923076923076923,9.557692307692308,0.038461538461538464,12.684615384615386,0.15384615384615385,163863.46153846153,0.2692307692307692
Morgan Gibbs-White,0.07692307692307693,2.9615384615384617,25.72307692307692,0.23076923076923078,14.284615384615384,0.15384615384615385,159381.96153846153,0.2692307692307692
Moussa Diaby,0.15384615384615385,3.6923076923076925,16.33076923076923,0.3076923076923077,11.484615384615385,0.19230769230769232,1074748.8461538462,0.038461538461538464
Murillo Santiago Costa dos Santos,0.0,1.8695652173913044,3.5130434782608693,0.043478260869565216,19.730434782608697,0.13043478260869565,5901.913043478261,0.08695652173913043
Nathan Aké,0.07692307692307693,2.8461538461538463,7.138461538461538,0.11538461538461539,13.669230769230769,0.11538461538461539,661670.5769230769,0.0
Nathan Collins,0.038461538461538464,2.0384615384615383,3.3076923076923075,0.038461538461538464,16.453846153846154,0.15384615384615385,49865.92307692308,0.07692307692307693
Nayef Aguerd,0.038461538461538464,1.3076923076923077,1.7730769230769232,0.0,15.123076923076923,0.07692307692307693,75789.42307692308,0.038461538461538464
Nick Pope,0.0,2.1538461538461537,0.0,0.0,11.438461538461537,0.23076923076923078,904578.8461538461,0.0
Nicolas Jackson,0.3076923076923077,3.0384615384615383,10.484615384615385,0.11538461538461539,17.03076923076923,0.19230769230769232,793952.5769230769,0.34615384615384615
Nicolás Domínguez,0.09090909090909091,2.590909090909091,6.468181818181819,0.09090909090909091,13.645454545454545,0.2727272727272727,2628.818181818182,0.09090909090909091
Norberto Murara Neto,0.0,3.48,0.0,0.0,25.24,0.24,215024.0,0.16
Nélson Cabral Semedo,0.0,1.9230769230769231,10.55,0.038461538461538464,14.838461538461539,0.15384615384615385,53640.653846153844,0.19230769230769232
Odsonne Edouard,0.23076923076923078,2.5,8.015384615384615,0.0,11.846153846153847,0.19230769230769232,297868.5,0.11538461538461539
Oleksandr Zinchenko,0.038461538461538464,3.269230769230769,15.326923076923077,0.07692307692307693,13.36923076923077,0.2692307692307692,870536.5769230769,0.07692307692307693
Oliver Norwood,0.038461538461538464,1.4615384615384615,8.511538461538462,0.0,10.353846153846153,0.0,3693.0,0.23076923076923078
Ollie Watkins,0.5769230769230769,6.6923076923076925,17.846153846153847,0.5384615384615384,31.06153846153846,0.23076923076923078,4042490.9615384615,0.15384615384615385
