name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_saved,red_cards,saves,penalties_missed,selected,threat,total_points,value
Kevin Schade,MID,Brentford,1.6631578947368422,0.05263157894736842,0.0,3.8421052631578947,0.15789473684210525,5.810526315789474,688.0,0.03374210526315789,0.12216315789473683,0.10894736842105263,0.37422105263157895,0.3684210526315789,0.0,37.0,0.0,0.0,0.0,0.0,0.0,539.6315789473684,10.789473684210526,1.4736842105263157,49.26315789473684
Keylor Navas,GK,Nott'm Forest,2.288235294117647,0.0,0.29411764705882354,16.058823529411764,0.11764705882352941,0.0,729.0,0.0005882352941176471,0.0,0.0,1.9411764705882353,1.8823529411764706,0.0,90.0,0.0,0.0,0.0,3.0,0.0,96243.05882352941,0.0,2.5294117647058822,45.0
Kieran Trippier,DEF,Newcastle,5.378378378378378,0.24324324324324326,1.054054054054054,25.405405405405407,0.43243243243243246,48.70810810810811,357.0,0.2080845945945946,0.20099,0.011554054054054054,0.6181864864864866,0.8108108108108109,0.02702702702702703,87.89189189189189,0.0,0.0,0.0,0.0,0.0,6305248.459459459,3.1621621621621623,5.351351351351352,58.027027027027025
Kiernan Dewsbury-Hall,MID,Leicester,2.0,0.08108108108108109,0.13513513513513514,9.135135135135135,0.16216216216216217,14.262162162162163,266.0,0.04048081081081081,0.0776754054054054,0.03854594594594595,0.5947513513513514,1.1081081081081081,0.05405405405405406,60.4054054054054,0.0,0.0,0.02702702702702703,0.0,0.0,94823.1081081081,6.297297297297297,2.135135135135135,49.37837837837838
Kyle Walker,DEF,Man City,2.8432432432432435,0.0,0.0,9.72972972972973,0.1891891891891892,4.762162162162162,299.0,0.026134864864864864,0.027602432432432433,0.0014675675675675675,0.4331567567567568,0.5135135135135135,0.0,50.351351351351354,0.0,0.0,0.0,0.0,0.0,584943.972972973,1.054054054054054,1.8108108108108107,48.45945945945946
Kyle Walker-Peters,DEF,Southampton,1.2027027027027026,0.0,0.05405405405405406,8.64864864864865,0.08108108108108109,7.002702702702703,409.0,0.038132972972972974,0.04272756756756757,0.009189189189189189,0.8672027027027027,1.4594594594594594,0.02702702702702703,69.1891891891892,0.0,0.0,0.0,0.0,0.0,95158.94594594595,5.216216216216216,1.5135135135135136,44.351351351351354
Leon Bailey,MID,Aston Villa,2.1864864864864866,0.13513513513513514,0.16216216216216217,6.1891891891891895,0.21621621621621623,11.864864864864865,45.0,0.05174486486486487,0.1371908108108108,0.08841891891891893,0.5225702702702703,0.8378378378378378,0.10810810810810811,51.24324324324324,0.0,0.0,0.0,0.0,0.0,530499.5405405406,14.324324324324325,2.6486486486486487,45.32432432432432
Lewis Dunk,DEF,Brighton,3.6486486486486487,0.02702702702702703,0.1891891891891892,17.513513513513512,0.32432432432432434,4.38918918918919,106.0,0.020444864864864864,0.034631351351351355,0.026078378378378377,0.8618918918918919,1.3513513513513513,0.02702702702702703,87.56756756756756,0.02702702702702703,0.0,0.0,0.0,0.0,595953.0540540541,4.864864864864865,3.027027027027027,46.83783783783784
Lloyd Kelly,DEF,Bournemouth,1.2216216216216218,0.05405405405405406,0.13513513513513514,9.594594594594595,0.13513513513513514,2.6216216216216215,73.0,0.008606486486486487,0.012492972972972973,0.0046972972972972975,0.750872972972973,1.0,0.0,52.7027027027027,0.0,0.0,0.0,0.0,0.0,69165.21621621621,0.7027027027027027,1.5675675675675675,43.5945945945946
Lucas Tolentino Coelho de Lima,MID,West Ham,2.7181818181818183,0.15151515151515152,0.24242424242424243,11.606060606060606,0.18181818181818182,13.530303030303031,603.0,0.0644369696969697,0.15467939393939392,0.10145454545454545,0.8633272727272727,1.121212121212121,0.12121212121212122,63.15151515151515,0.0,0.0,0.0,0.0,0.0,80288.54545454546,14.333333333333334,2.909090909090909,59.24242424242424
